,id,carat,cut,color,clarity,depth,table,x,y,z,price
1111,1112,0.4,Premium,E,VS1,62.8,59.0,4.67,4.63,2.92,1125
24503,24504,0.51,Very Good,E,VVS2,60.0,58.0,5.2,5.23,3.13,2365
25130,25131,0.51,Premium,H,VS1,62.5,58.0,5.12,5.09,3.19,1443
13617,13618,1.33,Premium,H,VS2,62.6,58.0,7.07,7.01,4.41,7943
25941,25942,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
23931,23932,0.7,Very Good,F,SI1,62.6,56.0,5.66,5.72,3.56,2196
18183,18184,1.29,Premium,J,VS2,60.5,58.0,7.07,6.99,4.25,5815
19126,19127,0.31,Premium,G,VS2,59.8,60.0,4.4,4.43,2.64,544
13448,13449,0.9,Fair,E,SI1,65.5,59.0,6.06,6.03,3.96,3508
8822,8823,0.43,Premium,H,SI1,59.0,58.0,4.93,4.96,2.92,716
19146,19147,1.02,Ideal,F,VVS2,62.3,58.0,6.42,6.45,4.01,9598
322,323,0.7,Good,H,VS2,63.8,60.0,5.59,5.51,3.54,2083
1929,1930,2.06,Ideal,I,SI2,63.3,54.0,8.09,8.14,5.13,14505
22154,22155,0.5,Ideal,D,SI1,61.8,55.0,5.11,5.15,3.17,1848
26168,26169,0.92,Ideal,E,SI1,61.7,57.0,6.24,6.27,3.86,5014
21439,21440,0.31,Very Good,H,SI1,62.4,60.0,4.32,4.34,2.7,446
17279,17280,1.51,Premium,E,SI1,61.5,58.0,7.33,7.38,4.52,12530
7786,7787,0.41,Ideal,H,SI1,62.8,56.0,4.77,4.72,2.98,876
2430,2431,0.73,Very Good,F,VVS2,61.9,59.0,5.72,5.84,3.58,3442
4124,4125,0.81,Very Good,I,VS2,64.0,60.0,5.84,5.88,3.75,2714
20643,20644,1.03,Premium,F,VS2,62.0,58.0,6.5,6.46,4.02,6484
22203,22204,0.74,Good,E,VS2,63.9,54.0,5.77,5.81,3.7,3163
5317,5318,0.31,Ideal,D,VS1,62.1,57.0,4.32,4.35,2.69,683
13612,13613,0.3,Premium,D,VS2,62.2,60.0,4.28,4.3,2.67,710
6518,6519,1.77,Premium,G,SI2,62.7,59.0,7.67,7.66,4.8,9664
25817,25818,1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,3449
7966,7967,0.57,Premium,E,VS2,62.0,58.0,5.38,5.33,3.32,1763
18509,18510,2.08,Ideal,G,SI2,61.8,56.0,8.22,8.18,5.07,18124
22833,22834,1.5,Very Good,H,VS2,61.6,55.0,7.37,7.43,4.56,10558
26127,26128,1.11,Very Good,G,SI2,58.5,61.0,6.74,6.8,3.96,4816
5916,5917,0.31,Ideal,F,IF,61.2,56.0,4.37,4.42,2.69,921
6379,6380,0.72,Premium,F,SI2,60.5,59.0,5.83,5.8,3.52,2298
4967,4968,0.33,Ideal,I,IF,62.2,56.0,4.42,4.45,2.76,694
8997,8998,0.9,Good,H,SI2,64.1,58.0,6.05,6.02,3.87,3105
20500,20501,1.05,Ideal,D,SI1,60.0,55.0,6.66,6.61,3.98,5104
6333,6334,0.5,Very Good,J,SI1,63.2,55.0,5.07,5.03,3.19,1000
21391,21392,0.71,Very Good,H,VS1,62.7,57.0,5.66,5.72,3.57,2559
2038,2039,0.71,Very Good,J,SI1,62.8,57.0,5.64,5.67,3.55,1841
7298,7299,1.5,Good,E,SI1,58.9,61.0,7.43,7.5,4.4,11179
18349,18350,0.42,Very Good,F,SI1,63.3,56.0,4.79,4.75,3.02,926
8611,8612,0.3,Ideal,G,VVS1,61.5,57.0,4.28,4.31,2.64,764
3909,3910,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2264
14691,14692,0.7,Good,H,SI2,63.8,57.0,5.58,5.55,3.55,1856
18071,18072,0.3,Premium,H,VS1,62.5,58.0,4.27,4.34,2.69,526
18619,18620,1.01,Very Good,D,VS2,62.2,61.0,6.37,6.43,3.98,6905
8179,8180,0.52,Very Good,G,VVS1,61.1,58.0,5.19,5.22,3.18,2113
15267,15268,0.7,Ideal,E,VS2,61.7,55.0,5.7,5.74,3.53,3612
25193,25194,0.44,Premium,E,VS1,60.7,58.0,4.91,4.88,2.97,1238
9230,9231,0.31,Ideal,G,VS2,61.6,54.0,4.39,4.41,2.71,544
14469,14470,0.61,Very Good,I,SI1,63.4,55.0,5.39,5.43,3.43,1356
1687,1688,0.43,Ideal,I,VS2,61.9,54.0,4.87,4.88,3.02,716
12669,12670,0.76,Ideal,D,SI2,62.2,57.0,5.83,5.85,3.63,2682
1666,1667,0.5,Premium,E,SI1,62.4,60.0,4.98,4.96,3.1,1238
20509,20510,0.51,Good,D,VS2,60.1,65.0,5.14,5.17,3.1,1430
26964,26965,0.51,Premium,E,VS2,61.7,58.0,5.12,5.15,3.17,1656
17467,17468,0.71,Ideal,F,SI1,61.5,56.0,5.76,5.69,3.52,2633
7500,7501,0.89,Good,F,SI1,64.3,55.0,6.12,6.01,3.9,3663
19726,19727,0.58,Ideal,E,SI1,61.6,55.0,5.38,5.33,3.3,1758
24403,24404,0.51,Ideal,H,SI1,61.3,57.0,5.1,5.14,3.14,1161
17888,17889,0.83,Very Good,I,VS2,61.6,58.0,6.05,6.07,3.73,2865
26454,26455,2.01,Premium,G,SI2,62.3,60.0,8.04,7.97,4.99,15147
13705,13706,0.32,Premium,G,VS2,,60.0,4.36,4.39,2.69,561
6349,6350,0.4,Ideal,H,VVS2,60.8,55.0,4.79,4.82,2.92,877
20874,20875,1.22,Ideal,G,VS1,62.2,56.0,6.88,6.85,4.27,9292
12299,12300,0.3,Very Good,F,VS2,58.8,60.0,4.37,4.41,2.58,524
13735,13736,0.33,Ideal,F,VVS2,60.9,57.0,4.46,4.51,2.73,761
19926,19927,0.7,Ideal,E,VS2,62.7,56.0,5.73,5.63,3.56,2697
15933,15934,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,1061
25331,25332,0.71,Very Good,F,SI1,61.9,56.0,5.67,5.7,3.52,2333
22173,22174,0.33,Ideal,G,IF,61.9,56.0,4.43,4.47,2.75,925
2830,2831,0.61,Ideal,D,VS2,61.6,56.0,5.46,5.49,3.37,2364
13167,13168,0.31,Very Good,G,VVS2,62.7,55.0,4.32,4.35,2.72,627
2215,2216,0.41,Ideal,E,VVS1,61.5,56.0,4.81,4.82,2.96,1444
19459,19460,0.4,Ideal,E,VS1,62.1,55.0,4.79,4.75,2.96,960
1961,1962,1.53,Good,J,SI2,64.1,58.0,7.3,7.18,4.64,6368
21684,21685,0.35,Ideal,H,VVS2,62.5,57.0,4.48,4.54,2.82,706
24394,24395,1.42,Very Good,F,VVS1,58.4,62.0,7.35,7.38,4.3,15665
12823,12824,0.31,Ideal,G,VVS1,62.6,53.0,4.37,4.38,2.74,789
17753,17754,1.24,Premium,H,VS1,62.2,59.0,6.9,6.83,4.27,7222
13628,13629,0.63,Ideal,D,SI1,61.5,56.0,5.52,5.53,3.4,1964
5170,5171,0.42,Ideal,G,VVS1,62.8,55.0,4.78,4.8,3.01,1245
17070,17071,1.0,Ideal,F,VS1,61.7,55.0,6.42,6.39,3.95,7056
13545,13546,1.33,Very Good,J,SI1,64.0,53.0,6.93,7.01,4.46,5327
4904,4905,0.43,Ideal,E,VS2,62.1,56.0,4.87,4.83,3.01,1048
22521,22522,1.0,Good,E,VS2,62.4,58.0,6.33,6.4,3.97,6248
17064,17065,2.11,Premium,I,SI2,,56.0,8.23,8.13,5.1,13701
8967,8968,1.98,Ideal,I,SI1,61.5,55.0,8.04,8.13,4.97,14581
6042,6043,0.37,Ideal,F,VS2,61.1,57.0,4.63,4.67,2.84,746
4194,4195,0.52,Very Good,H,VVS1,63.9,59.0,5.08,5.1,3.25,1664
308,309,0.84,Good,G,VS1,63.6,57.0,5.98,5.93,3.79,3316
15720,15721,1.01,Premium,E,VS2,62.9,59.0,6.36,6.3,3.98,6606
7282,7283,1.08,Ideal,F,SI1,62.7,57.0,6.52,6.49,4.08,5327
11869,11870,0.36,Ideal,E,VS1,61.7,56.0,4.58,4.56,2.82,1094
7608,7609,0.51,Ideal,G,VS2,62.7,57.0,5.12,5.05,3.19,1546
5999,6000,0.81,Ideal,F,SI2,62.9,57.0,5.97,5.93,3.74,2726
8681,8682,1.21,Good,G,VS2,63.8,56.0,6.74,6.67,4.28,8099
11471,11472,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4377
2500,2501,0.36,Ideal,E,VS1,61.8,54.0,4.56,4.6,2.83,835
25501,25502,2.16,Ideal,G,SI2,62.5,54.2,8.23,8.27,5.16,18001
10606,10607,0.3,Ideal,D,VS1,62.0,54.0,4.3,4.34,2.68,661
23745,23746,1.19,Very Good,H,SI2,63.4,58.0,6.79,6.76,4.29,4558
11718,11719,0.34,Ideal,D,VS1,61.3,56.0,4.5,4.54,2.77,742
7583,7584,0.36,Very Good,E,SI1,60.8,59.0,4.56,4.59,2.78,631
18492,18493,1.03,Ideal,F,VS2,60.7,56.0,6.58,6.56,3.99,6662
25549,25550,0.47,Very Good,F,SI2,63.3,59.0,4.9,4.86,3.09,1058
5875,5876,0.3,Good,D,SI1,63.1,56.0,4.24,4.28,2.69,515
16601,16602,0.23,Very Good,F,VVS2,61.9,59.0,3.94,3.97,2.45,530
24590,24591,2.04,Ideal,F,SI2,62.3,57.0,8.05,8.13,5.04,16261
20120,20121,0.37,Very Good,D,VS1,61.1,58.0,4.66,4.7,2.86,820
15708,15709,0.32,Ideal,F,VS1,61.9,56.0,4.4,4.35,2.71,900
1325,1326,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,756
19950,19951,1.01,Ideal,I,I1,61.6,56.0,6.45,6.43,3.97,2416
24166,24167,0.41,Very Good,J,IF,63.5,54.0,4.75,4.7,3.0,1061
6423,6424,0.33,Ideal,G,VVS1,62.0,55.0,4.45,4.49,2.77,838
15938,15939,1.51,Good,I,VS2,62.9,57.0,7.23,7.27,4.56,8720
17161,17162,0.34,Ideal,D,SI1,62.8,55.0,4.5,4.45,2.81,803
8737,8738,0.4,Ideal,D,VS1,60.6,56.0,4.82,4.78,2.91,1072
20726,20727,0.3,Ideal,D,SI1,61.9,57.0,4.28,4.32,2.66,524
19073,19074,0.64,Ideal,I,IF,62.0,54.0,5.53,5.56,3.44,1991
10793,10794,0.32,Premium,F,VS2,61.4,60.0,4.38,4.42,2.7,645
8544,8545,0.72,Good,F,SI1,63.6,55.0,5.71,5.64,3.61,2421
8599,8600,2.0,Premium,J,VS1,63.0,58.0,8.04,7.99,5.05,9296
22814,22815,1.2,Very Good,G,IF,60.9,55.0,6.9,6.93,4.21,10497
23359,23360,0.7,Very Good,H,SI1,,56.0,5.72,5.76,3.51,2548
23805,23806,2.09,Very Good,I,SI2,63.0,57.0,8.09,8.13,5.11,14704
10879,10880,0.71,Very Good,H,SI1,63.5,57.0,5.67,5.63,3.59,2207
16806,16807,1.07,Ideal,G,SI1,62.2,56.0,6.52,6.56,4.07,5551
1819,1820,1.5,Good,J,SI2,63.6,58.0,7.25,7.18,4.59,6421
13018,13019,1.32,Premium,F,VS2,60.9,59.0,7.12,7.06,4.32,10423
14548,14549,0.9,Good,E,SI1,60.8,65.0,6.31,6.18,3.8,3625
25060,25061,1.83,Very Good,E,SI2,62.8,56.0,7.76,7.82,4.89,13134
8254,8255,1.0,Premium,G,SI2,61.8,60.0,6.37,6.34,3.93,4284
8731,8732,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,5546
15571,15572,0.5,Ideal,E,VS2,61.3,57.0,5.13,5.15,3.15,1624
8313,8314,1.03,Ideal,I,VS1,62.4,57.0,6.48,6.4,4.02,4199
23061,23062,0.39,Very Good,H,VVS2,62.1,58.0,4.63,4.65,2.88,855
23880,23881,0.6,Premium,E,SI1,60.0,57.0,5.52,5.48,3.3,1698
9239,9240,0.31,Very Good,G,VS1,63.0,57.0,4.28,4.32,2.71,625
10043,10044,0.34,Good,G,SI1,63.9,58.0,4.4,4.43,2.82,507
3142,3143,0.42,Very Good,F,SI1,62.9,57.0,4.73,4.77,2.99,773
20762,20763,1.04,Ideal,I,SI1,61.8,59.0,6.46,6.48,4.0,4484
3288,3289,0.9,Ideal,H,SI1,62.5,56.0,6.14,6.18,3.85,4492
8090,8091,1.2,Very Good,J,VS2,59.9,60.0,6.98,6.95,4.17,5140
16624,16625,0.77,Very Good,G,VS1,62.8,58.0,5.78,5.84,3.65,2986
19228,19229,0.23,Very Good,E,VVS2,61.6,61.0,3.92,3.97,2.43,505
2089,2090,1.02,Very Good,G,VS1,63.3,58.0,6.42,6.38,4.05,6861
13808,13809,1.61,Premium,H,SI1,62.8,58.0,7.47,7.4,4.67,7754
2498,2499,0.3,Ideal,F,SI1,62.2,54.2,4.31,4.34,2.69,499
19918,19919,1.16,Premium,G,SI1,63.0,58.0,6.7,6.66,4.21,5366
4655,4656,1.52,Good,J,SI1,63.6,60.0,7.25,7.21,4.6,7022
23802,23803,1.66,Ideal,J,SI2,60.8,57.0,7.68,7.65,4.66,6377
23088,23089,0.27,Very Good,G,VVS1,61.0,56.0,4.21,4.25,2.57,566
24502,24503,0.73,Good,E,VS1,63.7,59.0,5.67,5.69,3.62,3146
22232,22233,1.38,Ideal,J,SI2,61.0,56.0,7.22,7.26,4.42,5765
387,388,0.71,Ideal,F,VS1,61.1,57.0,5.76,5.82,3.54,3013
3825,3826,0.34,Very Good,G,SI1,61.5,56.0,4.45,4.52,2.76,507
14438,14439,2.22,Very Good,I,SI1,62.4,55.0,8.29,8.35,5.19,17160
1778,1779,1.58,Very Good,I,SI1,63.1,55.0,7.42,7.45,4.69,8782
3598,3599,0.3,Ideal,G,VS1,61.5,57.0,4.34,4.31,2.66,776
3254,3255,0.78,Good,G,SI2,57.9,63.0,6.05,6.0,3.49,1720
3357,3358,0.54,Ideal,D,SI1,60.7,56.0,5.27,5.3,3.21,1662
6480,6481,0.37,Premium,E,VS2,61.5,58.0,4.66,4.61,2.85,1041
25006,25007,0.36,Ideal,G,VS1,61.3,56.0,4.6,4.64,2.83,746
11840,11841,0.49,Premium,H,VS2,59.6,62.0,5.17,5.14,3.07,965
5348,5349,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629
8926,8927,1.01,Ideal,J,SI1,60.2,59.0,6.48,6.51,3.91,4194
13946,13947,0.45,Ideal,D,SI1,60.6,55.0,4.99,4.97,3.02,1027
18518,18519,0.41,Ideal,E,VS1,60.9,57.0,4.76,4.79,2.91,1079
17903,17904,0.71,Ideal,G,VS2,61.8,56.0,5.73,5.76,3.55,3299
20671,20672,2.02,Ideal,F,SI2,62.2,57.0,8.07,8.03,5.01,16256
26122,26123,0.76,Ideal,I,VVS1,62.2,55.0,5.89,5.87,3.66,2753
5056,5057,1.0,Premium,E,VS2,61.5,58.0,6.42,6.39,3.94,6720
5427,5428,0.51,Premium,D,SI1,60.1,60.0,5.14,5.18,3.1,1569
9251,9252,1.0,Very Good,F,SI2,62.9,59.0,6.27,6.38,3.98,4037
10319,10320,0.71,Very Good,F,VVS1,61.8,55.0,5.71,5.77,3.55,3461
5537,5538,0.4,Ideal,G,VVS1,61.5,59.0,4.71,4.75,2.91,1051
21314,21315,1.12,Very Good,G,VVS1,58.9,60.0,6.78,6.91,4.03,8072
24115,24116,0.51,Ideal,D,VS2,61.6,57.0,5.19,5.14,3.18,2056
16215,16216,1.04,Ideal,H,SI2,60.3,57.0,6.54,6.59,3.96,4323
17141,17142,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,1902
6366,6367,0.51,Ideal,G,VVS2,61.8,56.0,5.16,5.1,3.17,1974
3999,4000,0.35,Premium,H,VS2,59.6,62.0,4.62,4.57,2.74,709
24781,24782,0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2775
5658,5659,0.57,Ideal,H,SI2,62.0,57.0,5.3,5.35,3.3,1121
3146,3147,1.09,Very Good,I,SI1,61.4,58.0,6.61,6.69,4.08,4640
14511,14512,0.9,Good,G,SI1,64.1,59.4,6.04,6.08,3.88,3816
21144,21145,0.3,Premium,G,SI1,60.1,62.0,4.37,4.35,2.62,574
11816,11817,0.31,Very Good,F,VS1,59.7,55.0,4.42,4.46,2.65,679
16772,16773,0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,438
1028,1029,0.8,Very Good,J,SI1,61.6,56.0,5.94,5.98,3.67,2224
12349,12350,1.01,Premium,H,SI2,61.9,61.0,6.34,6.29,3.91,3394
8815,8816,1.5,Very Good,H,SI1,62.9,56.0,7.24,7.33,4.58,8058
26315,26316,0.52,Ideal,D,VS2,62.1,57.0,5.13,5.17,3.2,1689
4125,4126,1.5,Ideal,G,SI1,62.0,56.0,7.33,7.29,4.53,11180
2413,2414,1.0,Very Good,E,VS2,62.8,63.0,6.28,6.33,3.96,5720
5081,5082,0.51,Premium,F,SI2,61.1,59.0,5.15,5.09,3.13,1227
23991,23992,0.62,Ideal,F,SI2,62.0,58.0,5.44,5.49,3.39,1446
23796,23797,0.73,Ideal,G,SI1,60.7,56.0,5.89,5.81,3.55,2659
12400,12401,1.04,Good,F,SI2,64.0,60.0,6.38,6.33,4.07,3581
2325,2326,0.71,Premium,D,SI1,61.3,58.0,5.75,5.73,3.52,2822
20401,20402,0.3,Good,G,VS1,,58.0,4.23,4.25,2.69,605
11781,11782,0.39,Good,F,SI1,63.3,54.0,4.62,4.67,2.94,718
16395,16396,0.59,Ideal,F,SI1,62.0,57.0,5.41,5.34,3.33,1561
26523,26524,0.34,Ideal,D,VS2,62.9,55.0,4.47,4.43,2.8,1033
26072,26073,1.5,Premium,D,SI1,61.6,59.0,7.4,7.3,4.53,13445
21169,21170,1.31,Very Good,I,SI2,59.6,60.0,7.09,7.17,4.25,5187
3879,3880,0.71,Very Good,H,VVS2,63.0,56.0,5.63,5.68,3.56,2695
11095,11096,0.32,Ideal,G,VVS2,61.8,55.0,4.43,4.41,2.73,936
5117,5118,1.25,Very Good,G,SI2,61.4,59.0,6.97,6.93,4.27,6399
16016,16017,0.28,Very Good,F,VVS2,60.6,59.0,4.22,4.26,2.57,642
7603,7604,0.66,Very Good,H,VS2,60.9,57.0,5.63,5.65,3.43,1841
7124,7125,0.58,Ideal,H,VS1,61.1,57.0,5.38,5.42,3.3,1759
12135,12136,1.66,Very Good,G,VS2,63.2,56.0,7.61,7.49,4.77,15229
3177,3178,1.56,Ideal,J,SI2,62.1,55.0,7.45,7.41,4.62,5766
4047,4048,1.01,Ideal,F,I1,62.2,54.0,6.42,6.44,4.0,3377
23663,23664,0.31,Ideal,F,IF,61.4,56.0,4.4,4.43,2.71,1168
1814,1815,0.46,Ideal,G,IF,61.7,56.0,4.97,5.01,3.08,1987
6734,6735,0.31,Very Good,F,VS1,60.6,55.0,4.41,4.43,2.67,675
21250,21251,0.23,Good,F,VS1,63.2,58.0,3.86,3.89,2.45,376
22066,22067,1.07,Premium,G,VS2,62.2,58.0,6.54,6.48,4.05,6040
26043,26044,0.35,Ideal,D,SI2,61.8,57.0,4.57,4.53,2.81,669
10619,10620,0.7,Good,G,VS2,63.1,55.0,5.61,5.64,3.55,2633
4060,4061,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
19605,19606,0.81,Very Good,H,VS1,63.6,57.0,5.87,5.9,3.74,3104
21797,21798,0.71,Premium,E,VS2,62.4,60.0,5.66,5.68,3.54,2590
62,63,1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273
11385,11386,0.38,Premium,D,VVS2,60.0,62.0,4.73,4.7,2.83,1257
1577,1578,0.4,Premium,D,SI2,62.1,60.0,4.69,4.75,2.93,666
20677,20678,1.19,Premium,G,VS2,62.3,58.0,6.82,6.77,4.23,7130
99,100,0.5,Good,G,SI1,63.9,57.0,5.02,5.06,3.22,1197
852,853,0.32,Premium,H,SI1,61.3,60.0,4.36,4.42,2.69,449
17316,17317,1.03,Premium,I,SI1,62.0,58.0,6.46,6.41,3.99,3749
2660,2661,0.71,Ideal,D,SI1,62.3,56.0,5.72,5.7,3.56,3316
16135,16136,0.31,Ideal,E,SI2,61.7,56.0,4.4,4.35,2.7,558
25560,25561,0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,641
8199,8200,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,2596
19294,19295,0.33,Premium,E,VS1,61.0,55.0,4.51,4.47,2.74,1069
3895,3896,1.2,Ideal,G,VVS1,61.2,56.0,6.89,6.86,4.21,9570
10769,10770,0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
10731,10732,0.54,Premium,G,SI1,60.3,57.0,5.4,5.24,3.21,1389
10972,10973,0.43,Ideal,G,VS1,61.9,55.0,4.86,4.84,3.0,1008
2469,2470,0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,1896
6181,6182,0.72,Very Good,J,VVS1,60.1,58.0,5.8,5.84,3.5,2208
5253,5254,0.69,Ideal,F,SI1,61.3,55.0,5.72,5.74,3.51,2459
5898,5899,1.5,Premium,H,VS2,62.4,59.0,7.29,7.32,4.56,11092
17506,17507,1.14,Fair,G,VS1,57.5,67.0,0.0,0.0,0.0,6381
18696,18697,0.54,Very Good,D,VS2,61.1,59.0,5.25,5.29,3.22,1583
22106,22107,0.87,Very Good,D,SI1,60.2,60.0,6.12,6.17,3.7,3664
1653,1654,0.39,Premium,G,VS2,62.4,56.0,4.68,4.64,2.91,1009
8726,8727,1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98,4155
21787,21788,0.53,Ideal,D,SI1,61.7,56.0,5.15,5.23,3.2,1631
3546,3547,0.32,Ideal,E,VS2,61.7,56.0,4.44,4.41,2.73,900
3329,3330,0.36,Premium,F,SI1,60.3,58.0,4.65,4.6,2.79,770
25805,25806,0.77,Very Good,G,VS1,61.1,54.0,5.91,5.94,3.62,3197
18373,18374,0.58,Ideal,F,VVS2,62.2,56.0,5.32,5.36,3.32,2567
14743,14744,1.04,Very Good,H,VS2,60.9,58.0,6.5,6.6,3.99,5447
14439,14440,0.8,Ideal,F,SI1,60.1,60.0,5.98,6.03,3.61,3293
16253,16254,0.71,Good,G,VS2,58.9,61.0,5.81,5.84,3.43,2649
11853,11854,1.52,Very Good,J,VS2,63.5,58.0,7.28,7.24,4.61,7504
767,768,0.8,Ideal,G,VVS2,61.4,57.0,5.96,6.0,3.67,4740
2634,2635,0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,4542
17543,17544,1.01,Fair,I,SI2,68.1,59.0,6.14,6.11,4.17,3054
26605,26606,0.4,Ideal,G,SI1,60.2,56.0,4.77,4.83,2.89,702
16231,16232,0.7,Ideal,D,VS1,62.9,57.0,5.67,5.61,3.55,3229
577,578,0.42,Ideal,G,VS1,61.2,54.0,4.82,4.86,2.96,921
115,116,0.31,Ideal,E,VVS1,60.2,61.0,4.4,4.43,2.66,865
13254,13255,1.08,Very Good,I,SI1,62.2,57.0,6.57,6.54,4.08,4933
23494,23495,0.5,Ideal,G,VVS1,62.7,57.0,5.1,5.07,3.19,2070
15379,15380,0.7,Good,H,SI2,61.5,63.0,5.59,5.63,3.45,1899
14581,14582,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3376
17413,17414,0.32,Premium,G,VVS2,,60.0,4.45,4.42,2.67,936
1594,1595,1.2,Very Good,F,SI2,63.2,58.0,6.78,6.74,4.27,4502
12415,12416,0.72,Ideal,G,SI1,61.4,56.0,5.75,5.78,3.54,2686
20451,20452,1.34,Ideal,J,SI2,62.5,57.0,7.0,7.08,4.4,5273
12453,12454,1.5,Good,G,SI2,63.7,58.0,7.15,7.22,4.58,7216
19195,19196,1.2,Ideal,F,VS2,62.6,56.0,6.78,6.73,4.23,8486
4516,4517,1.0,Premium,H,SI1,62.8,58.0,6.38,6.36,4.0,4816
8746,8747,0.58,Ideal,D,SI2,61.2,57.0,5.4,5.36,3.29,1442
24355,24356,0.57,Very Good,H,VS2,61.7,54.8,5.34,5.37,3.3,1605
22312,22313,0.33,Ideal,F,VVS1,,55.0,4.43,4.46,2.75,893
3014,3015,1.05,Ideal,F,SI1,61.8,57.0,6.51,6.54,4.03,4729
11153,11154,0.46,Very Good,G,VVS1,61.7,60.0,4.94,4.98,3.06,1413
18244,18245,0.71,Premium,G,SI1,62.8,61.0,5.64,5.59,3.53,2215
24042,24043,1.5,Good,I,SI1,62.9,60.0,7.12,7.16,4.49,8161
4110,4111,1.62,Ideal,G,VS2,61.7,56.0,7.53,7.57,4.66,14777
2155,2156,0.35,Ideal,F,VS2,61.4,54.0,4.58,4.54,2.8,906
24240,24241,0.42,Ideal,G,VVS1,62.0,56.0,4.84,4.81,2.99,1235
20184,20185,0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,1251
139,140,0.5,Very Good,D,SI1,60.3,59.0,5.11,5.14,3.09,1415
20285,20286,1.24,Premium,H,SI1,60.2,60.0,6.94,6.91,4.17,6808
23829,23830,1.29,Premium,F,VS1,60.9,58.0,7.01,6.97,4.26,10530
21371,21372,0.41,Ideal,E,VVS2,60.5,57.0,4.83,4.86,2.93,1363
18085,18086,0.37,Premium,F,VS2,59.7,59.0,4.64,4.68,2.78,746
18992,18993,0.51,Very Good,F,VVS2,60.3,55.0,5.22,5.26,3.16,2633
24220,24221,0.32,Ideal,I,VS2,61.3,56.0,4.43,4.38,2.7,576
15022,15023,2.19,Premium,I,SI2,60.8,60.0,8.34,8.38,5.08,15032
16465,16466,2.02,Premium,I,VS1,61.2,59.0,8.13,8.05,4.95,17153
25513,25514,1.24,Ideal,D,SI1,60.4,57.0,6.95,7.02,4.22,8457
19028,19029,0.31,Ideal,I,VS2,61.6,55.0,4.37,4.4,2.7,452
22642,22643,0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,868
10196,10197,0.54,Premium,E,VS2,60.0,58.0,5.34,5.29,3.19,1709
14647,14648,0.4,Very Good,D,VS2,62.3,58.0,4.69,4.72,2.93,746
17394,17395,0.92,Ideal,G,SI2,61.9,57.0,6.23,6.25,3.86,4406
17066,17067,0.51,Ideal,G,SI1,61.9,56.0,5.11,5.17,3.17,1321
22888,22889,0.9,Premium,D,SI1,61.5,58.0,6.21,6.15,3.8,4304
11477,11478,0.9,Premium,G,VS2,62.8,60.0,6.14,6.08,3.84,4052
20041,20042,1.07,Premium,G,VS1,61.4,56.0,6.65,6.61,4.07,6076
1344,1345,0.41,Ideal,G,VS1,59.8,57.0,4.86,4.81,2.89,961
16566,16567,1.21,Premium,I,SI1,62.0,56.0,6.89,6.83,4.25,5285
6708,6709,0.33,Very Good,I,IF,62.0,58.0,4.44,4.46,2.76,694
5150,5151,0.73,Premium,F,VS2,62.3,60.0,5.77,5.73,3.58,2683
15394,15395,0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51,2790
3406,3407,1.08,Good,G,VS2,58.9,58.0,6.69,6.75,3.96,6708
24136,24137,1.0,Fair,F,SI1,66.7,57.0,6.07,5.99,4.02,3669
10901,10902,1.01,Ideal,F,VS1,62.0,57.0,6.45,6.39,3.98,7602
2257,2258,0.77,Good,F,VS2,60.3,61.0,5.89,5.96,3.57,2911
17095,17096,1.07,Ideal,G,SI1,61.7,54.0,6.59,6.61,4.07,5532
2147,2148,0.66,Ideal,H,VS1,62.7,55.0,5.6,5.57,3.5,2222
13283,13284,0.33,Ideal,H,VS2,60.7,57.0,4.45,4.48,2.71,521
17460,17461,1.07,Ideal,D,SI1,,57.0,6.61,6.64,4.02,6587
12397,12398,0.5,Ideal,E,VS2,63.8,54.0,5.07,5.05,3.23,1845
25928,25929,1.4,Premium,G,SI2,62.0,60.0,7.16,7.1,4.42,7357
